identifier,y_sim,y_exp,smiles,fold
CHEMBL2005936,-10.54604,CHEMBL2005936,100.0,1
CHEMBL453217,-8.1357,CHEMBL453217,100.0,3
CHEMBL1982660,-8.37944,CHEMBL1982660,100.0,3
CHEMBL188785,-9.66009,CHEMBL188785,100.0,2
CHEMBL432116,-7.83761,CHEMBL432116,100.0,0
CHEMBL1971029,-9.61758,CHEMBL1971029,100.0,1
CHEMBL1996339,-8.06448,CHEMBL1996339,100.0,3
CHEMBL1973893,-8.72513,CHEMBL1973893,100.0,4
CHEMBL44119,-8.09049,CHEMBL44119,110.0,0
CHEMBL45408,-8.10288,CHEMBL45408,110.0,1
CHEMBL475251,-9.76831,CHEMBL475251,125.89,2
CHEMBL590109,-9.99448,CHEMBL590109,125.89,4
CHEMBL2002456,-8.00573,CHEMBL2002456,125.89,3
CHEMBL1994438,-9.20157,CHEMBL1994438,125.89,0
CHEMBL509032,-9.0775,CHEMBL509032,125.89,1
CHEMBL1990912,-8.08413,CHEMBL1990912,125.89,1
CHEMBL2001751,-10.62522,CHEMBL2001751,125.89,0
CHEMBL2000685,1.72124,CHEMBL2000685,125.89,4
CHEMBL2006933,-6.68094,CHEMBL2006933,125.89,0
CHEMBL1986499,-10.20386,CHEMBL1986499,125.89,1
CHEMBL565612,-9.09585,CHEMBL565612,125.89,4
CHEMBL1987948,-9.40132,CHEMBL1987948,125.89,2
CHEMBL1969221,-9.43198,CHEMBL1969221,125.89,1
CHEMBL1970821,-7.81858,CHEMBL1970821,125.89,3
CHEMBL359623,-8.50728,CHEMBL359623,130.0,0
CHEMBL571722,-11.17252,CHEMBL571722,138.0,2
CHEMBL442957,-8.1233,CHEMBL442957,140.0,3
CHEMBL584754,-10.8396,CHEMBL584754,140.0,3
CHEMBL3099755,-9.11043,CHEMBL3099755,140.0,3
CHEMBL264345,-8.62725,CHEMBL264345,140.0,1
CHEMBL3932121,-8.80433,CHEMBL3932121,149.0,2
CHEMBL185871,-9.8847,CHEMBL185871,150.0,0
CHEMBL364587,-9.46387,CHEMBL364587,150.0,4
CHEMBL582829,-10.76608,CHEMBL582829,150.0,0
CHEMBL1084630,-9.29942,CHEMBL1084630,151.0,4
CHEMBL1084629,-9.18436,CHEMBL1084629,156.0,2
CHEMBL1981720,-7.75632,CHEMBL1981720,158.49,1
CHEMBL1972339,-10.23537,CHEMBL1972339,158.49,3
CHEMBL1966524,-10.28882,CHEMBL1966524,158.49,4
CHEMBL2000271,-9.93885,CHEMBL2000271,158.49,1
CHEMBL1998068,-7.44304,CHEMBL1998068,158.49,0
CHEMBL1971017,-7.78158,CHEMBL1971017,158.49,3
CHEMBL2000393,-10.36577,CHEMBL2000393,158.49,4
CHEMBL1980391,-7.94473,CHEMBL1980391,158.49,3
CHEMBL1974250,-10.00486,CHEMBL1974250,158.49,3
CHEMBL1998432,-9.38356,CHEMBL1998432,158.49,0
CHEMBL1996817,-7.15633,CHEMBL1996817,158.49,3
CHEMBL189235,-9.84583,CHEMBL189235,160.0,4
CHEMBL47249,-8.51946,CHEMBL47249,160.0,2
CHEMBL3099751,-10.75549,CHEMBL3099751,160.0,3
CHEMBL1084454,-7.83127,CHEMBL1084454,168.0,2
CHEMBL576683,-11.41364,CHEMBL576683,170.0,0
CHEMBL365248,-9.45553,CHEMBL365248,190.0,2
CHEMBL188303,-9.80264,CHEMBL188303,190.0,0
CHEMBL188417,-8.52272,CHEMBL188417,190.0,3
CHEMBL1971172,-8.63422,CHEMBL1971172,199.53,3
CHEMBL1682358,-10.37854,CHEMBL1682358,199.53,2
CHEMBL52387,-7.38751,CHEMBL52387,199.53,1
CHEMBL1990254,-8.48765,CHEMBL1990254,199.53,1
CHEMBL1988331,-10.03155,CHEMBL1988331,199.53,4
CHEMBL1988838,-9.21088,CHEMBL1988838,199.53,1
CHEMBL1996111,-8.96354,CHEMBL1996111,199.53,4
CHEMBL1991188,-8.62802,CHEMBL1991188,199.53,3
CHEMBL1983157,-7.6033,CHEMBL1983157,199.53,4
CHEMBL2006439,-8.42955,CHEMBL2006439,199.53,2
CHEMBL379975,-6.78229,CHEMBL379975,199.53,3
CHEMBL1968459,-7.74615,CHEMBL1968459,199.53,2
CHEMBL3099758,-8.2393,CHEMBL3099758,200.0,1
CHEMBL571484,-11.11876,CHEMBL571484,209.0,2
CHEMBL572361,-10.6627,CHEMBL572361,210.0,2
CHEMBL46817,-7.90875,CHEMBL46817,220.0,2
CHEMBL1083151,-7.72791,CHEMBL1083151,239.0,4
CHEMBL571038,-10.84444,CHEMBL571038,240.0,0
CHEMBL570111,-11.3867,CHEMBL570111,250.0,4
CHEMBL1976420,-7.92875,CHEMBL1976420,251.19,4
CHEMBL1975647,-8.14112,CHEMBL1975647,251.19,0
CHEMBL1992922,-7.45239,CHEMBL1992922,251.19,2
CHEMBL1682345,-9.4766,CHEMBL1682345,251.19,1
CHEMBL1966343,-8.84806,CHEMBL1966343,251.19,0
CHEMBL1975787,-8.03982,CHEMBL1975787,251.19,3
CHEMBL2002613,-10.37442,CHEMBL2002613,251.19,1
CHEMBL1992634,-7.36322,CHEMBL1992634,251.19,4
CHEMBL362558,-10.70414,CHEMBL362558,251.19,1
CHEMBL340384,-8.46545,CHEMBL340384,251.19,4
CHEMBL2005387,-8.90823,CHEMBL2005387,251.19,1
CHEMBL1997643,-10.63463,CHEMBL1997643,251.19,0
CHEMBL1991674,-9.15989,CHEMBL1991674,251.19,3
CHEMBL1964340,-7.69359,CHEMBL1964340,251.19,1
CHEMBL1958401,-7.98761,CHEMBL1958401,251.19,4
CHEMBL2006456,-9.81005,CHEMBL2006456,251.19,0
CHEMBL1989646,-8.97548,CHEMBL1989646,251.19,3
CHEMBL1973395,-7.94002,CHEMBL1973395,251.19,2
CHEMBL1682553,-8.14054,CHEMBL1682553,251.19,4
CHEMBL443962,-7.32997,CHEMBL443962,251.19,4
CHEMBL1967887,-7.60575,CHEMBL1967887,251.19,4
CHEMBL2005718,-8.34866,CHEMBL2005718,251.19,0
CHEMBL1083152,-7.74101,CHEMBL1083152,256.0,2
CHEMBL185099,-8.10283,CHEMBL185099,270.0,0
CHEMBL1083150,-7.9014,CHEMBL1083150,286.0,4
CHEMBL577193,-10.47796,CHEMBL577193,290.0,3
CHEMBL48109,-8.42591,CHEMBL48109,290.0,4
CHEMBL1083785,-9.27669,CHEMBL1083785,297.0,1
CHEMBL47132,-7.83593,CHEMBL47132,300.0,3
CHEMBL3099749,-9.05131,CHEMBL3099749,300.0,1
CHEMBL361697,-8.62219,CHEMBL361697,310.0,3
CHEMBL576048,-10.79297,CHEMBL576048,316.0,3
CHEMBL392642,-8.23796,CHEMBL392642,316.23,1
CHEMBL1965845,-9.87984,CHEMBL1965845,316.23,1
CHEMBL1986666,-9.42269,CHEMBL1986666,316.23,2
CHEMBL1982957,-9.73679,CHEMBL1982957,316.23,1
CHEMBL1967704,-8.32484,CHEMBL1967704,316.23,4
CHEMBL1977346,-7.5426,CHEMBL1977346,316.23,2
CHEMBL178737,-8.30046,CHEMBL178737,316.23,4
CHEMBL1190711,-8.45996,CHEMBL1190711,316.23,3
CHEMBL225519,-7.42621,CHEMBL225519,316.23,3
CHEMBL1970913,-7.95789,CHEMBL1970913,316.23,4
CHEMBL243088,-8.9869,CHEMBL243088,316.23,4
CHEMBL1999918,-8.16526,CHEMBL1999918,316.23,4
CHEMBL1968850,-7.31113,CHEMBL1968850,316.23,1
CHEMBL1989006,-7.77804,CHEMBL1989006,316.23,0
CHEMBL1988173,-9.39884,CHEMBL1988173,316.23,3
CHEMBL1969523,-9.4297,CHEMBL1969523,316.23,4
CHEMBL243298,-8.90207,CHEMBL243298,316.23,3
CHEMBL1987261,-8.7558,CHEMBL1987261,316.23,3
CHEMBL217537,-9.18431,CHEMBL217537,327.0,0
CHEMBL393929,-8.55327,CHEMBL393929,340.0,3
CHEMBL5196242,-9.45933,CHEMBL5196242,350.0,4
CHEMBL365245,-8.56706,CHEMBL365245,360.0,4
CHEMBL47302,-6.1623,CHEMBL47302,396.0,3
CHEMBL1682554,-7.8536,CHEMBL1682554,398.11,1
CHEMBL1982506,-6.73443,CHEMBL1982506,398.11,0
CHEMBL2003524,-7.31971,CHEMBL2003524,398.11,2
CHEMBL2003482,-9.32431,CHEMBL2003482,398.11,3
CHEMBL1985095,-10.43717,CHEMBL1985095,398.11,1
CHEMBL1971943,-9.37659,CHEMBL1971943,398.11,4
CHEMBL491758,-8.26857,CHEMBL491758,398.11,2
CHEMBL243518,-9.19383,CHEMBL243518,398.11,1
CHEMBL1981079,-8.27189,CHEMBL1981079,398.11,2
CHEMBL1989293,-9.1899,CHEMBL1989293,398.11,1
CHEMBL1983589,-9.17115,CHEMBL1983589,398.11,3
CHEMBL526133,-8.99144,CHEMBL526133,398.11,0
CHEMBL1972290,-7.81065,CHEMBL1972290,398.11,2
CHEMBL1964804,-8.68145,CHEMBL1964804,398.11,4
CHEMBL2005216,-9.3717,CHEMBL2005216,398.11,0
CHEMBL47636,-7.8436,CHEMBL47636,400.0,0
CHEMBL1083786,-9.55706,CHEMBL1083786,432.0,2
CHEMBL571056,-10.45985,CHEMBL571056,450.0,3
CHEMBL385373,-9.81833,CHEMBL385373,451.0,3
CHEMBL1086088,-7.88872,CHEMBL1086088,463.0,2
CHEMBL214183,-10.08847,CHEMBL214183,495.0,3
CHEMBL189352,-8.9028,CHEMBL189352,500.0,3
CHEMBL1682346,-9.71311,CHEMBL1682346,501.19,4
CHEMBL1991728,-4.91433,CHEMBL1991728,501.19,0
CHEMBL1980178,-9.63536,CHEMBL1980178,501.19,4
CHEMBL1967878,-9.91464,CHEMBL1967878,501.19,1
CHEMBL1985723,-8.1238,CHEMBL1985723,501.19,1
CHEMBL1981047,-8.90321,CHEMBL1981047,501.19,2
CHEMBL1999556,-7.57853,CHEMBL1999556,501.19,2
CHEMBL1982711,-7.69523,CHEMBL1982711,501.19,1
CHEMBL1983855,-7.64486,CHEMBL1983855,501.19,1
CHEMBL1964290,-8.71941,CHEMBL1964290,501.19,1
CHEMBL2000832,-9.208,CHEMBL2000832,501.19,3
CHEMBL1981511,-9.3304,CHEMBL1981511,501.19,3
CHEMBL1974310,-7.84293,CHEMBL1974310,501.19,3
CHEMBL1990415,-8.91103,CHEMBL1990415,501.19,1
CHEMBL1987745,-9.34849,CHEMBL1987745,501.19,0
CHEMBL336961,-8.10967,CHEMBL336961,501.19,4
CHEMBL1998611,-6.93305,CHEMBL1998611,501.19,0
CHEMBL1998826,-8.27231,CHEMBL1998826,501.19,1
CHEMBL1975440,-8.90121,CHEMBL1975440,501.19,3
CHEMBL5181384,-9.32813,CHEMBL5181384,520.0,0
CHEMBL1084969,-9.48807,CHEMBL1084969,522.0,4
CHEMBL217443,-9.11284,CHEMBL217443,597.0,0
CHEMBL246970,-8.73939,CHEMBL246970,630.96,3
CHEMBL1994830,-7.95333,CHEMBL1994830,630.96,3
CHEMBL1682341,-9.46047,CHEMBL1682341,630.96,0
CHEMBL1966040,-10.9122,CHEMBL1966040,630.96,4
CHEMBL2003637,-9.15567,CHEMBL2003637,630.96,2
CHEMBL2000894,-9.09142,CHEMBL2000894,630.96,2
CHEMBL1967564,-8.74376,CHEMBL1967564,630.96,0
CHEMBL1986970,-8.49559,CHEMBL1986970,630.96,2
CHEMBL437747,-7.5887,CHEMBL437747,630.96,4
CHEMBL1968070,-7.96005,CHEMBL1968070,630.96,0
CHEMBL1976936,-8.79134,CHEMBL1976936,630.96,4
CHEMBL1979933,-8.7163,CHEMBL1979933,630.96,3
CHEMBL1964399,-8.82407,CHEMBL1964399,630.96,0
CHEMBL1975500,-9.13244,CHEMBL1975500,630.96,4
CHEMBL1969502,-9.22477,CHEMBL1969502,630.96,3
CHEMBL2000071,-7.1917,CHEMBL2000071,630.96,3
CHEMBL1682359,-8.76003,CHEMBL1682359,630.96,4
CHEMBL2003229,-7.21789,CHEMBL2003229,630.96,4
CHEMBL568937,-11.18243,CHEMBL568937,642.0,0
CHEMBL44712,-7.9069,CHEMBL44712,670.0,4
CHEMBL3099756,-9.45771,CHEMBL3099756,700.0,4
CHEMBL295398,-8.0374,CHEMBL295398,700.0,2
CHEMBL187139,-9.80984,CHEMBL187139,790.0,3
CHEMBL1970104,-10.44176,CHEMBL1970104,794.33,0
CHEMBL1682357,-10.10038,CHEMBL1682357,794.33,2
CHEMBL2003271,-6.92591,CHEMBL2003271,794.33,1
CHEMBL220241,-9.31766,CHEMBL220241,794.33,4
CHEMBL210618,-8.23375,CHEMBL210618,794.33,4
CHEMBL513846,-8.66482,CHEMBL513846,794.33,1
CHEMBL2007296,-9.21732,CHEMBL2007296,794.33,2
CHEMBL1995592,-8.38721,CHEMBL1995592,794.33,4
CHEMBL1983932,-8.2484,CHEMBL1983932,794.33,1
CHEMBL1983025,-6.92788,CHEMBL1983025,794.33,2
CHEMBL2007002,-9.2902,CHEMBL2007002,794.33,4
CHEMBL1998121,-9.22484,CHEMBL1998121,794.33,0
CHEMBL2003682,-10.54526,CHEMBL2003682,794.33,2
CHEMBL46429,-8.21348,CHEMBL46429,800.0,2
CHEMBL583042,-10.51892,CHEMBL583042,852.0,4
CHEMBL384356,-9.20003,CHEMBL384356,886.0,2
CHEMBL3099754,-8.29131,CHEMBL3099754,900.0,0
CHEMBL3099757,-9.21632,CHEMBL3099757,900.0,0
CHEMBL2002992,-8.54703,CHEMBL2002992,1000.0,0
CHEMBL1992740,-9.84492,CHEMBL1992740,1000.0,0
CHEMBL1964777,-7.39559,CHEMBL1964777,1000.0,2
CHEMBL1972362,-7.73338,CHEMBL1972362,1000.0,1
CHEMBL116070,-7.42954,CHEMBL116070,1000.0,0
CHEMBL1984274,-10.39516,CHEMBL1984274,1000.0,2
CHEMBL1992231,-8.68925,CHEMBL1992231,1000.0,2
CHEMBL1994241,-8.41318,CHEMBL1994241,1000.0,2
