identifier,y_sim,y_exp,smiles,fold
CHEMBL1084715,-8.86262,32.0,[H]N(C(=O)C([H])([H])[H])C([H])([H])C1=C([H])C([H])=C(N([H])C2=NC([H])=C([H])C(=N2)C2=C(N=C(S2)N([H])C([H])([H])C([H])([H])[H])C([H])([H])[H])C([H])=C1[H],3
CHEMBL296468,-8.23564,38.0,[H]N(C(=O)C1([H])C([H])([H])C([H])([H])N([H])C([H])([H])C1([H])[H])C1=NC([H])=C(SC([H])([H])C2=NC([H])=C(O2)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])S1,2
CHEMBL1965836,-10.22254,39.81,[H]N([H])[C@]([H])(C([H])([H])OC1=C([H])N=C([H])C(=C1[H])C1=C([H])C([H])=C2N([H])N=C(C2=C1[H])C([H])([H])[H])C([H])([H])C1=C([H])C(OC(F)(F)F)=C([H])C([H])=C1[H],4
CHEMBL1995932,-10.61585,39.81,[H]N(C1=NC([H])=NC(=C1[H])C1=C([H])N([H])C2=NC([H])=C([H])C([H])=C12)C([H])([H])C1=C([H])C([H])=C([H])C(=C1[H])C([H])([H])[H],4
CHEMBL1968930,-8.89463,39.81,[H]N([H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])N([H])C1=NC(=C([H])C(Cl)=N1)C1=C([H])N([H])C2=NC([H])=C([H])C([H])=C12,4
CHEMBL422897,-9.16842,39.81,[H]OC1=C([H])C(O[H])=C2C(=O)C([H])=C(OC2=C1[C@@]1([H])C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[C@]1([H])O[H])C1=C(Cl)C([H])=C([H])C([H])=C1[H],3
CHEMBL1982271,-8.62276,39.81,[H]N(C(=O)C([H])([H])N(C([H])([H])[H])C([H])([H])[H])[C@@]1([H])C([H])([H])C([H])([H])[C@]([H])(N([H])C2=NC(=C([H])C(Cl)=N2)C2=C([H])N([H])C3=NC([H])=C([H])C([H])=C23)C([H])([H])C1([H])[H],1
CHEMBL1987448,-7.46542,39.81,[H]N([H])C1=NC(Cl)=C([H])C(=C1[H])C1=C([H])N([H])C2=NC([H])=C([H])C([H])=C12,0
CHEMBL1980435,-10.60584,39.81,[H]N(C(=O)C1=C([H])C([H])=C([H])C(OC([H])([H])[H])=C1[H])C1=NN([H])C2=C([H])C([H])=C(C([H])=C12)C1=C([H])N(N=N1)C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H],4
CHEMBL428690,-8.97665,40.0,[H]OC1=C([H])C(O[H])=C2C(=O)C([H])=C(OC2=C1[C@@]1([H])C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[C@@]1([H])O[H])C1=C(Cl)C([H])=C([H])C([H])=C1[H],3
