identifier,y_sim,y_exp,smiles,fold
CHEMBL2005326,-9.14036,100.0,COc1ccc(\C=C\C(=O)c2ccc(Br)cc2)cc1,0
CHEMBL426110,-6.86575,100.0,Oc1ccc(\C=C2/Oc3cc(O)ccc3C2=O)cc1,3
CHEMBL3309741,1.11579,110.0,Cc1ccc(cc1)[C@H]1CC(=NN1C(=O)c1ccco1)c1cc(Cl)ccc1O,0
CHEMBL4793110,4.23962,120.0,COc1cccc(c1)C1=NN(C(C1)c1ccccc1Cl)C(=O)Cn1c2cc(Cl)ccc2oc1=O,2
CHEMBL4790734,13.2204,125.0,COc1ccc(cc1)C1=NN(C(C1)c1cccc(OC)c1OC)C(=O)Cn1c2ccccc2oc1=O,4
CHEMBL3310019,5.52322,130.0,Cc1ccc(cc1)[C@H]1CC(=NN1C(=O)c1cccs1)c1cc(Br)ccc1O,0
CHEMBL1796451,-2.49051,130.0,Cc1cccc(NC(=S)N2N=C(CC2c2ccc(O)cc2)c2ccccc2)c1,4
CHEMBL3309737,-7.84743,130.0,Cc1ccc(\C=C\C(=O)c2cc(Br)ccc2O)cc1,4
CHEMBL439193,-6.91733,133.0,CSc1ccc(C[C@H](C)N)cc1,1
CHEMBL2297676,-8.83469,140.0,Cc1ccc(\C=C\C(=O)c2cc(Cl)ccc2O)cc1,0
CHEMBL4572140,1.84084,140.0,COc1cc(ccc1O)C1CC(=NN1C(=O)Oc1ccccc1)c1ccc(O)c(OC)c1,1
CHEMBL1642676,-8.83645,148.0,O=C1Nc2ccc(cc2C1=O)-c1ccccc1,1
CHEMBL1796461,-8.12235,150.0,NC(=N)N1N=C(CC1c1ccc(Cl)cc1)c1ccccc1,4
CHEMBL3309738,-8.86159,160.0,Cc1cccc(\C=C\C(=O)c2ccc(Cl)cc2)c1,4
CHEMBL1089,-6.90011,163.0,NNCCc1ccccc1,2
CHEMBL4763544,9.40948,170.0,COc1ccc(cc1OC)C1CC(=NN1C(=O)Cn1c2cc(C)ccc2oc1=O)c1ccccc1,3
CHEMBL1796443,-1.16989,170.0,COc1ccc(NC(=S)N2N=C(CC2c2ccccc2O)c2ccccc2)cc1,1
CHEMBL589765,-8.36518,180.0,Cc1cccc(COc2nc3n(C)c(=O)n(C)c(=O)c3n2C)c1,4
CHEMBL602465,-8.598,180.0,Cn1c(OCc2cccc(F)c2)nc2n(C)c(=O)n(C)c(=O)c12,2
CHEMBL3310011,6.62302,180.0,Cc1ccc(cc1)[C@H]1CC(=NN1C(=O)c1ccncc1)c1cc(Br)ccc1O,1
CHEMBL3219619,-7.93109,190.0,CN(C)c1ccc(NCc2ccccn2)cc1,2
CHEMBL1813522,-11.07889,200.0,O=C1NC(=O)c2cc(Oc3ccc4ccccc4c3)ccc12,0
CHEMBL1760720,-5.99849,205.45,C1C(NN=C1c1c2ccccc2cc2ccccc12)c1ccccn1,2
CHEMBL13045,-7.46442,220.0,COc1ccc2c(c[n+](C)c3c4cc5OCOc5cc4ccc23)c1OC,1
CHEMBL1760714,-5.44709,225.13,Oc1ccc(cc1)C1CC(=NN1)c1c2ccccc2cc2ccccc12,3
CHEMBL4450588,-8.8132,230.0,Fc1cccc(\C=C/C2CCN(CC#C)CC2)c1,2
CHEMBL3310009,5.04018,240.0,Cc1nnsc1C(=O)N1N=C(C[C@@H]1c1ccc(C)cc1)c1cc(Cl)ccc1O,3
CHEMBL374741,-9.20752,240.0,COc1ccc(\C=C\C(=O)c2ccc(Cl)cc2)cc1,1
CHEMBL389840,-10.13892,240.0,Cc1ccc(\C=C\C(=O)c2ccc(Cl)cc2)cc1,0
CHEMBL2437022,-0.98907,250.0,Oc1ccccc1C1=NN(C(C1)c1ccccc1)C(=O)Oc1ccccc1,0
CHEMBL1796448,0.48295,250.0,Cc1ccccc1NC(=S)N1N=C(CC1c1ccccc1O)c1ccccc1,4
CHEMBL1760716,-4.7919,250.27,Cc1ccc(cc1)C1CC(=NN1)c1c2ccccc2cc2ccccc12,3
CHEMBL1645557,-8.29863,255.7,Cc1nccc2c3ccc(OCCN4CCOCC4)cc3[nH]c12,3
CHEMBL350475,-8.32431,260.0,CC(C)=CCc1c(O)ccc2ccc(=O)oc12,0
CHEMBL275224,-8.88233,260.0,c1ccc2c(c1)[nH]c1cnccc21,3
CHEMBL4760669,13.91875,266.0,COc1cccc(C2CC(=NN2C(=O)Cn2c3cc(C)ccc3oc2=O)c2ccc(C)cc2)c1OC,4
CHEMBL1760715,-3.05005,281.19,Clc1ccc(cc1)C1CC(=NN1)c1c2ccccc2cc2ccccc12,4
CHEMBL1813525,-10.44062,285.0,Brc1ccc(Oc2ccc3C(=O)NC(=O)c3c2)cc1,1
CHEMBL1813524,-10.39048,285.0,Brc1ccc(CCOc2ccc3C(=O)NC(=O)c3c2)cc1,2
CHEMBL1796444,-0.92099,290.0,Cc1ccc(NC(=S)N2N=C(CC2c2ccccc2O)c2ccccc2)cc1,3
CHEMBL3780346,0.53296,290.0,COc1cc(ccc1O)C1=NN(C(C1)c1ccccc1)C(=O)Oc1ccccc1,2
CHEMBL1796457,-6.58667,300.0,NC(=O)N1N=C(CC1c1ccc(Cl)cc1)c1ccccc1,1
CHEMBL1796446,-1.61058,300.0,Cc1cccc(NC(=S)N2N=C(CC2c2ccccc2O)c2ccccc2)c1,4
CHEMBL1760722,-4.64785,301.11,COc1ccc(cc1)C1CC(=NN1)c1c2ccccc2cc2ccccc12,1
CHEMBL4758018,7.78803,308.0,COc1ccccc1C1=NN(C(C1)c1ccccc1Cl)C(=O)Cn1c2cc(C)ccc2oc1=O,2
CHEMBL2437019,-0.10908,310.0,COc1ccc(cc1)C1CC(=NN1C(=O)Oc1ccccc1)c1ccccc1O,2
CHEMBL1796453,1.61456,310.0,Cc1ccccc1NC(=S)N1N=C(CC1c1ccc(O)cc1)c1ccccc1,0
CHEMBL1796447,0.16032,310.0,COc1ccccc1NC(=S)N1N=C(CC1c1ccccc1O)c1ccccc1,2
CHEMBL1760717,-6.27014,332.41,C1C(NN=C1c1c2ccccc2cc2ccccc12)c1ccccc1,4
CHEMBL489743,-7.37723,333.0,Cc1ccc(cc1)C1CC(=NN1C(N)=S)c1ccccc1,3
CHEMBL602880,-8.32591,340.0,COc1cccc(COc2nc3n(C)c(=O)n(C)c(=O)c3n2C)c1,4
CHEMBL1795357,-2.87566,350.0,COc1cccc(NC(=S)N2N=C(CC2c2ccc(O)cc2)c2ccccc2)c1,3
CHEMBL3764447,-8.78381,360.0,Clc1ccc(COc2ccc3sc(=O)oc3c2)cc1,4
CHEMBL1796450,-1.10219,360.0,Cc1ccc(NC(=S)N2N=C(CC2c2ccc(O)cc2)c2ccccc2)cc1,4
CHEMBL1796459,-8.15836,400.0,Cc1ccc(cc1)C1CC(=NN1C(N)=N)c1ccccc1,0
